,concatenated_coordinates_snap_cds_concat_indexing,coordinate_type_gene_adjusted_python,coordinate_type_gff,coordinate_type_gff_adjusted_python,coordinate_type_gff_gene_adjusted
source,"(1, 10617)","(0, 58179)","(2085834, 2144013)","(2085833, 2144012)","(1, 58180)"
cds_0,"(1, 156)","(0, 155)","(2085834, 2085989)","(2085833, 2085988)","(1, 156)"
cds_1,"(157, 273)","(743, 859)","(2086577, 2086693)","(2086576, 2086692)","(744, 860)"
cds_2,"(274, 468)","(1151, 1345)","(2086985, 2087179)","(2086984, 2087178)","(1152, 1346)"
cds_3,"(469, 617)","(2026, 2174)","(2087860, 2088008)","(2087859, 2088007)","(2027, 2175)"
cds_4,"(618, 829)","(2776, 2987)","(2088610, 2088821)","(2088609, 2088820)","(2777, 2988)"
cds_5,"(830, 993)","(3561, 3724)","(2089395, 2089558)","(2089394, 2089557)","(3562, 3725)"
cds_6,"(994, 1199)","(4209, 4414)","(2090043, 2090248)","(2090042, 2090247)","(4210, 4415)"
cds_7,"(1200, 1338)","(4805, 4943)","(2090639, 2090777)","(2090638, 2090776)","(4806, 4944)"
cds_8,"(1339, 1446)","(5460, 5567)","(2091294, 2091401)","(2091293, 2091400)","(5461, 5568)"
cds_9,"(1447, 1557)","(5824, 5934)","(2091658, 2091768)","(2091657, 2091767)","(5825, 5935)"
cds_10,"(1558, 1683)","(6249, 6374)","(2092083, 2092208)","(2092082, 2092207)","(6250, 6375)"
cds_11,"(1684, 1751)","(7150, 7217)","(2092984, 2093051)","(2092983, 2093050)","(7151, 7218)"
cds_12,"(1752, 1923)","(7985, 8156)","(2093819, 2093990)","(2093818, 2093989)","(7986, 8157)"
cds_13,"(1924, 2080)","(8536, 8692)","(2094370, 2094526)","(2094369, 2094525)","(8537, 8693)"
cds_14,"(2081, 2184)","(9183, 9286)","(2095017, 2095120)","(2095016, 2095119)","(9184, 9287)"
cds_15,"(2185, 2340)","(9706, 9861)","(2095540, 2095695)","(2095539, 2095694)","(9707, 9862)"
cds_16,"(2341, 2484)","(10096, 10239)","(2095930, 2096073)","(2095929, 2096072)","(10097, 10240)"
cds_17,"(2485, 2619)","(10509, 10643)","(2096343, 2096477)","(2096342, 2096476)","(10510, 10644)"
cds_18,"(2620, 2739)","(10915, 11034)","(2096749, 2096868)","(2096748, 2096867)","(10916, 11035)"
cds_19,"(2740, 2903)","(11250, 11413)","(2097084, 2097247)","(2097083, 2097246)","(11251, 11414)"
cds_20,"(2904, 3027)","(11874, 11997)","(2097708, 2097831)","(2097707, 2097830)","(11875, 11998)"
cds_21,"(3028, 3126)","(12261, 12359)","(2098095, 2098193)","(2098094, 2098192)","(12262, 12360)"
cds_22,"(3127, 3236)","(13837, 13946)","(2099671, 2099780)","(2099670, 2099779)","(13838, 13947)"
cds_23,"(3237, 3378)","(14157, 14298)","(2099991, 2100132)","(2099990, 2100131)","(14158, 14299)"
cds_24,"(3379, 3592)","(14623, 14836)","(2100457, 2100670)","(2100456, 2100669)","(14624, 14837)"
cds_25,"(3593, 3838)","(15217, 15462)","(2101051, 2101296)","(2101050, 2101295)","(15218, 15463)"
cds_26,"(3839, 4005)","(15786, 15952)","(2101620, 2101786)","(2101619, 2101785)","(15787, 15953)"
cds_27,"(4006, 4113)","(20391, 20498)","(2106225, 2106332)","(2106224, 2106331)","(20392, 20499)"
cds_28,"(4114, 4251)","(20977, 21114)","(2106811, 2106948)","(2106810, 2106947)","(20978, 21115)"
cds_29,"(4252, 4464)","(21611, 21823)","(2107445, 2107657)","(2107444, 2107656)","(21612, 21824)"
cds_30,"(4465, 4607)","(22329, 22471)","(2108163, 2108305)","(2108162, 2108304)","(22330, 22472)"
cds_31,"(4608, 4797)","(22810, 22999)","(2108644, 2108833)","(2108643, 2108832)","(22811, 23000)"
cds_32,"(4798, 5022)","(23298, 23522)","(2109132, 2109356)","(2109131, 2109355)","(23299, 23523)"
cds_33,"(5023, 5156)","(23814, 23947)","(2109648, 2109781)","(2109647, 2109780)","(23815, 23948)"
cds_34,"(5157, 5299)","(34497, 34639)","(2120331, 2120473)","(2120330, 2120472)","(34498, 34640)"
cds_35,"(5300, 5484)","(35000, 35184)","(2120834, 2121018)","(2120833, 2121017)","(35001, 35185)"
cds_36,"(5485, 5656)","(35692, 35863)","(2121526, 2121697)","(2121525, 2121696)","(35693, 35864)"
cds_37,"(5657, 5775)","(37044, 37162)","(2122878, 2122996)","(2122877, 2122995)","(37045, 37163)"
cds_38,"(5776, 5902)","(37511, 37637)","(2123345, 2123471)","(2123344, 2123470)","(37512, 37638)"
cds_39,"(5903, 5991)","(38235, 38323)","(2124069, 2124157)","(2124068, 2124156)","(38236, 38324)"
cds_40,"(5992, 6141)","(38943, 39092)","(2124777, 2124926)","(2124776, 2124925)","(38944, 39093)"
cds_41,"(6142, 6224)","(39410, 39492)","(2125244, 2125326)","(2125243, 2125325)","(39411, 39493)"
cds_42,"(6225, 6347)","(40683, 40805)","(2126517, 2126639)","(2126516, 2126638)","(40684, 40806)"
cds_43,"(6348, 6478)","(41425, 41555)","(2127259, 2127389)","(2127258, 2127388)","(41426, 41556)"
cds_44,"(6479, 6604)","(42387, 42512)","(2128221, 2128346)","(2128220, 2128345)","(42388, 42513)"
cds_45,"(6605, 6792)","(42940, 43127)","(2128774, 2128961)","(2128773, 2128960)","(42941, 43128)"
cds_46,"(6793, 6980)","(43522, 43709)","(2129356, 2129543)","(2129355, 2129542)","(43523, 43710)"
cds_47,"(6981, 7133)","(43992, 44144)","(2129826, 2129978)","(2129825, 2129977)","(43993, 44145)"
cds_48,"(7134, 7266)","(44700, 44832)","(2130534, 2130666)","(2130533, 2130665)","(44701, 44833)"
cds_49,"(7267, 7464)","(45143, 45340)","(2130977, 2131174)","(2130976, 2131173)","(45144, 45341)"
cds_50,"(7465, 7611)","(45852, 45998)","(2131686, 2131832)","(2131685, 2131831)","(45853, 45999)"
cds_51,"(7612, 7794)","(46613, 46795)","(2132447, 2132629)","(2132446, 2132628)","(46614, 46796)"
cds_52,"(7795, 7977)","(47318, 47500)","(2133152, 2133334)","(2133151, 2133333)","(47319, 47501)"
cds_53,"(7978, 8177)","(48351, 48550)","(2134185, 2134384)","(2134184, 2134383)","(48352, 48551)"
cds_54,"(8178, 8328)","(49340, 49490)","(2135174, 2135324)","(2135173, 2135323)","(49341, 49491)"
cds_55,"(8329, 8433)","(50010, 50114)","(2135844, 2135948)","(2135843, 2135947)","(50011, 50115)"
cds_56,"(8434, 8604)","(50654, 50824)","(2136488, 2136658)","(2136487, 2136657)","(50655, 50825)"
cds_57,"(8605, 8806)","(51471, 51672)","(2137305, 2137506)","(2137304, 2137505)","(51472, 51673)"
cds_58,"(8807, 9030)","(52163, 52386)","(2137997, 2138220)","(2137996, 2138219)","(52164, 52387)"
cds_59,"(9031, 9189)","(52811, 52969)","(2138645, 2138803)","(2138644, 2138802)","(52812, 52970)"
cds_60,"(9190, 9360)","(53510, 53680)","(2139344, 2139514)","(2139343, 2139513)","(53511, 53681)"
cds_61,"(9361, 9472)","(54370, 54481)","(2140204, 2140315)","(2140203, 2140314)","(54371, 54482)"
cds_62,"(9473, 9628)","(55156, 55311)","(2140990, 2141145)","(2140989, 2141144)","(55157, 55312)"
