sequence,cds_0,cds_1,cds_2,cds_3,cds_4,cds_5,cds_6,coordinate_type,cds_0_length,cds_1_length,cds_2_length,cds_3_length,cds_4_length,cds_5_length,cds_6_length,total_length
"(800436, 806642)","(800436, 800616)","(800867, 801221)","(801662, 801796)","(802102, 802314)","(802535, 802683)","(802948, 803048)","(806376, 806642)",coordinate_type_gff,181,355,135,213,149,101,267,2802
"(800435, 806641)","(800435, 800615)","(800866, 801220)","(801661, 801795)","(802101, 802313)","(802534, 802682)","(802947, 803047)","(806375, 806641)",coordinate_type_gff_adjustedpython,181,355,135,213,149,101,267,2802
"(1, 6207)","(1, 181)","(432, 786)","(1227, 1361)","(1667, 1879)","(2100, 2248)","(2513, 2613)","(5941, 6207)",coordinate_type_gff_gene_adjusted,181,355,135,213,149,101,267,2802
"(0, 6206)","(0, 180)","(431, 785)","(1226, 1360)","(1666, 1878)","(2099, 2247)","(2512, 2612)","(5940, 6206)",coordinate_type_gene_adjusted_python,181,355,135,213,149,101,267,2802
